gene	uemd
A1CF	0
A2M	0
A2ML1	0
AAAS	0
AADAC	0
AADACL4	0
AAGAB	0
AAK1	0
AARS	0
AARS2	0
AASDH	0
AASDHPPT	9.08775604127341e-05
AASS	0
AATF	0
AATK	0
ABAT	0
ABCA1	0
ABCA10	0
ABCA12	0
ABCA13	0
ABCA2	0
ABCA3	0
ABCA4	0
ABCA5	0
ABCA6	0
ABCA7	0
ABCA8	0
ABCA9	0.000363510241650936
ABCB1	0
ABCB10	0
ABCB11	0.0811528277094852
ABCB4	0
ABCB5	0
ABCB6	0
ABCB7	0.413361169102297
ABCB8	0
ABCB9	0
ABCC1	0
ABCC10	0
ABCC11	0
ABCC12	0
ABCC2	0
ABCC3	0
ABCC4	0
ABCC5	0
ABCC6	0
ABCC8	0
ABCC9	0.224029861199117
ABCD1	0.103340292275574
ABCD2	0
ABCD3	0
ABCE1	0.19141065318455
ABCF1	0
ABCF3	0
ABCG1	0
ABCG2	0
ABCG4	0
ABCG5	0
ABCG8	0
ABHD1	0
ABHD13	0.294505826168735
ABHD15	0
ABHD16A	0
ABHD16B	0
ABHD17C	0.0246661708698233
ABHD2	0.0880703609089756
ABHD4	0
ABHD8	0
ABI1	0.00979560052558909
ABI2	0
ABI3	0
ABI3BP	0
ABL1	0
ABL2	0
ABLIM1	0
ABLIM2	0
ABLIM3	0
ABR	0
ABRA	0.084511962488411
ABRAXAS1	0
ABRAXAS2	0
ABT1	0
ABTB2	0
ACAA2	0
ACACA	0
ACACB	0
ACAD10	0
ACAD11	0.0426599278315447
ACAD9	0
ACADSB	0.0088151233600352
ACADVL	0
ACAN	0
ACAP1	9.08775604127341e-05
ACAP3	0
ACAT1	0
ACBD3	0
ACBD4	0
ACBD5	0
ACCS	0
ACCSL	0
ACE	0
ACER1	0.000245119291388476
ACER3	0.0638035510615166
ACHE	0
ACIN1	0
ACKR1	0
ACKR2	0
ACKR3	0
ACKR4	0
ACLY	0
ACO2	0.00156159330874359
ACOT11	0
ACOT12	0
ACOT4	0
ACOT7	0
ACOT9	0.103340292275574
ACOX1	0
ACOX2	0
ACOX3	0
ACOXL	0
ACP4	0
ACP5	0
ACP6	0
ACP7	0
ACPP	0.152273272992857
ACRBP	0
ACSBG1	0
ACSBG2	0
ACSF2	0
ACSF3	0
ACSL1	0
ACSL3	0
ACSL4	0.498956158663884
ACSL5	0
ACSL6	0
ACSM2B	0
ACSM3	0
ACSM4	0
ACSM5	0
ACSM6	0
ACSS3	0.240343633901832
ACTA1	0
ACTA2	0.308977035490605
ACTB	0.167143843337091
ACTBL2	0
ACTG1	0.279481014093526
ACTG2	0.22990355306249
ACTL6A	0.0242668098474591
ACTL7A	0
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN2	0
ACTN4	0.0970672393898363
ACTR1A	0.206680584551149
ACTR1B	0
ACTR3B	0.230947394398607
ACTR5	0
ACTR8	0
ACTRT1	0.206680584551149
ACTRT2	0
ACTRT3	0
ACVR1B	0.0332636883283199
ACVR1C	0.00899687848086066
ACVR2A	0.358953857544004
ACVRL1	0
ACY3	0
ACYP1	0
ADA	0
ADA2	0
ADAD1	0
ADAD2	0
ADAL	0
ADAM11	0
ADAM12	0
ADAM15	0
ADAM18	0
ADAM19	0.000735357874165427
ADAM2	0
ADAM21	0
ADAM22	0
ADAM23	0
ADAM28	0
ADAM29	0
ADAM30	0
ADAM32	0
ADAM33	0
ADAM7	0
ADAMDEC1	0
ADAMTS1	0
ADAMTS10	0
ADAMTS12	0
ADAMTS13	0
ADAMTS14	0
ADAMTS15	0
ADAMTS16	0
ADAMTS17	0
ADAMTS18	0
ADAMTS19	0
ADAMTS2	0
ADAMTS20	0
ADAMTS3	0
ADAMTS5	0
ADAMTS6	0
ADAMTS7	0
ADAMTS8	0
ADAMTS9	0
ADAMTSL1	0
ADAMTSL2	0
ADAMTSL3	0
ADAMTSL4	0
ADAP2	0
ADAR	0
ADARB2	0
ADAT1	0
ADAT2	0
ADCK2	0
ADCK5	0
ADCY1	0
ADCY10	0
ADCY2	0
ADCY3	0
ADCY4	0
ADCY5	0
ADCY7	0
ADCY8	0
ADCY9	0
ADD1	0
ADD2	0.000426874412213944
ADD3	0
ADGB	0
ADGRA1	0
ADGRA2	0
ADGRA3	0
ADGRB1	0
ADGRB2	0
ADGRB3	0
ADGRD1	0
ADGRE1	0
ADGRE2	0
ADGRE3	0
ADGRE5	0
ADGRF1	0
ADGRF2	0
ADGRF3	0
ADGRF5	0
ADGRG1	0
ADGRG2	0.505219206680586
ADGRG3	0
ADGRG4	0.906054279749479
ADGRG5	0
ADGRG6	0
ADGRG7	0
ADGRL1	0
ADGRL2	0
ADGRL3	0
ADGRL4	0
ADGRV1	0
ADH1A	0
ADH4	0
ADH5	0
ADH6	0
ADH7	0
ADHFE1	0
ADIPOR2	0.102296450939457
ADM5	0.0485336196949181
ADNP	0
ADNP2	0
ADORA1	0.0485336196949181
ADORA2A	0.000490238582776951
ADORA3	0
ADPGK	0
ADPRH	0
ADPRHL1	0
ADPRHL2	0
ADPRM	0
ADRA1A	0
ADRA1B	0
ADRA2B	0
ADRB2	0
ADRM1	0
ADSL	0
ADSS2	0
ADTRP	0
AEBP1	0
AEBP2	0
AFAP1	0
AFAP1L1	0
AFAP1L2	0
AFDN	0
AFF1	2.7513389849727e-05
AFF2	1.44154488517746
AFF3	0
AFF4	0
AFG1L	0
AFG3L2	0
AFM	0
AFP	0
AFTPH	0
AGAP1	0
AGAP11	0
AGAP2	0
AGAP3	0
AGAP5	0
AGAP6	0
AGBL1	0
AGBL2	0
AGBL3	0
AGBL4	0
AGBL5	0.108561166434332
AGFG1	0
AGFG2	0
AGGF1	0.0725553102509888
AGK	0
AGL	0
AGMAT	0
AGO1	0.216076824054373
AGO2	0.437627978949755
AGO3	0.0460824267810334
AGO4	0.0344617713954125
AGPAT4	0.0489329807172823
AGPS	0
AGRN	0
AGT	0
AGTPBP1	0
AGTR1	0
AGTR2	0.204592901878915
AGXT	0
AGXT2	0
AHCTF1	0
AHCY	0
AHCYL2	0
AHDC1	0
AHI1	0
AHNAK	0
AHNAK2	0
AHR	0
AHRR	0
AHSA1	0.103340292275574
AHSP	9.08775604127341e-05
AIFM1	0.206680584551149
AIFM2	0
AIFM3	0
